date,NGE_raw,Pt,MV_t,NGE
2021-11-16,81922052.07581182,444.8841247558594,422639918518.0664,0.0001938341564210526
2021-11-17,63241097.84795364,443.8033752441406,421613206481.9336,0.00014999790536842104
2021-11-18,67467795.24074739,445.3106994628906,423045164489.7461,0.00015948130578947368
2021-11-19,42251494.191381834,444.514404296875,422288684082.03125,0.00010005357894736841
2021-11-22,28278518.170079112,443.26300048828125,421099850463.8672,6.715394968421052e-05
2021-11-23,23046697.978947237,443.8507385253906,421658201599.1211,5.4657298e-05
2021-11-24,38821893.80452074,445.0357971191406,422784007263.1836,9.182441421052633e-05
2021-11-26,-33727553.70680547,435.1100158691406,413354515075.6836,-8.159473884210527e-05
2021-11-29,3587474.6122158514,440.4474182128906,418425047302.2461,8.573756842105264e-06
2021-11-30,-41257318.05407959,431.8773193359375,410283453369.1406,-0.00010055808421052632
2021-12-01,-52976407.023802154,427.08038330078125,405726364135.7422,-0.00013057176389473683
2021-12-02,-37989390.341535166,433.62164306640625,411940560913.08594,-9.22205627368421e-05
2021-12-03,-38226608.01257374,429.8486022949219,408356172180.1758,-9.361094705263158e-05
2021-12-06,-19672622.3160709,434.939453125,413192480468.75,-4.761127863157895e-05
2021-12-07,35805515.54621274,443.9360656738281,421739262390.1367,8.489964947368421e-05
2021-12-08,44059225.527239,445.1115417480469,422855964660.64453,0.00010419440473684212
2021-12-09,15713327.670382336,442.1064147949219,420001094055.1758,3.7412587473684215e-05
2021-12-10,44525228.65122513,446.2681579589844,423954750061.03516,0.00010502354
2021-12-13,19009404.622011714,442.31494140625,420199194335.9375,4.5239031578947355e-05
2021-12-14,-22724679.862715673,439.27178955078125,417308200073.2422,-5.445538778947368e-05
2021-12-15,47450295.9556529,446.1354675292969,423828694152.83203,0.00011195630831578947
2021-12-16,12335085.666963173,442.2012023925781,420091142272.9492,2.9362879684210523e-05
2021-12-17,-15737905.948318219,437.4949035644531,415620158386.23047,-3.7866079473684205e-05
2021-12-20,-35218194.37808811,432.84283447265625,411200692749.02344,-8.564721557894737e-05
2021-12-21,14228596.635200987,440.5296936035156,418503208923.33984,3.399877547368421e-05
2021-12-22,32901398.54956851,444.93438720703125,422687667846.6797,7.7838558e-05
2021-12-23,41854469.52454931,447.7028503417969,425317707824.70703,9.840754042105264e-05
2021-12-27,69819611.7358419,454.0387878417969,431336848449.70703,0.0001618679507368421
2021-12-28,69680685.33056557,453.6677551269531,430984367370.60547,0.00016167798789473684
2021-12-29,69688103.49302629,454.2481384277344,431535731506.34766,0.00016148860547368418
2021-12-30,50136165.28711871,452.9923095703125,430342694091.7969,0.0001165028847368421
2021-12-31,16940611.4426861,451.85064697265625,429258114624.02344,3.946486010526315e-05
2022-01-03,30386398.441047188,454.4668884277344,431743544006.34766,7.038066663157895e-05
2022-01-04,32110875.325457536,454.3146667480469,431598933410.64453,7.439980231578947e-05
2022-01-05,-26309636.545793403,445.5908508300781,423311308288.5742,-6.215198136842105e-05
2022-01-06,-45607705.46540302,445.17230224609375,422913687133.78906,-0.00010784163968421052
2022-01-07,-37436605.81568496,443.4122314453125,421241619873.0469,-8.887204884210526e-05
2022-01-10,-39735483.325405434,442.8604736328125,420717449951.1719,-9.4446958e-05
2022-01-11,-809780.728648931,446.8941955566406,424549485778.8086,-1.907388315789479e-06
2022-01-12,12775364.183516957,448.1023254394531,425697209167.48047,3.0010448526315785e-05
2022-01-13,-42720022.815919906,441.92816162109375,419831753540.03906,-0.00010175510178947369
2022-01-14,-32787044.228521377,442.10894775390625,420003500366.21094,-7.806374042105264e-05
2022-01-18,-73554293.34311576,434.2793273925781,412565361022.9492,-0.00017828518894736842
2022-01-19,-86090591.39393833,429.77001953125,408281518554.6875,-0.00021086085821052632
2022-01-20,-79910040.60553315,425.01324462890625,403762582397.46094,-0.0001979134374736842
2022-01-21,-73726095.00539309,416.6699523925781,395836454772.9492,-0.00018625392915789474
2022-01-24,-67980455.0740541,418.439453125,397517480468.75,-0.0001710124923157895
2022-01-25,-71383479.46731463,413.3307800292969,392664241027.83203,-0.00018179266663157894
2022-01-26,-75189195.25848977,412.2937316894531,391679045104.98047,-0.0001919663464210526
2022-01-27,-75196542.77623364,410.2578430175781,389744950866.6992,-0.00019293782410526316
2022-01-28,-47537764.474406965,420.44683837890625,399424496459.96094,-0.000119015646
2022-01-31,-20462456.377751462,428.0195007324219,406618525695.8008,-5.032347294736842e-05
2022-02-01,-12419748.463908916,430.9116516113281,409366069030.7617,-3.0338978736842104e-05
2022-02-02,5121200.388133394,435.0975036621094,413342628479.0039,1.2389722315789476e-05
2022-02-03,-41118168.62485066,424.87054443359375,403627017211.91406,-0.00010187169557894737
2022-02-04,-36393347.63677112,426.868408203125,405524987792.96875,-8.974378578947369e-05
2022-02-07,-45310540.81072238,425.4984436035156,404223521423.33984,-0.00011209278631578947
2022-02-08,-27054104.811133947,428.9993896484375,407549420166.0156,-6.638239063157895e-05
2022-02-09,7648739.83778356,435.2782897949219,413514375305.1758,1.8496914e-05
2022-02-10,-39571551.3313571,427.4582214355469,406085310363.76953,-9.744639936842105e-05
2022-02-11,-71833793.65063806,419.0293273925781,398077861022.9492,-0.00018045161684210526
2022-02-14,-75236223.49232948,417.6593322753906,396776365661.6211,-0.0001896187122105263
2022-02-15,-52966950.46530087,424.3948974609375,403175152587.8906,-0.00013137454063157894
2022-02-16,-43173563.752993636,424.87054443359375,403627017211.91406,-0.00010696400863157893
2022-02-17,-72144258.29419942,415.7947082519531,395004972839.35547,-0.00018264139252631577
2022-02-18,-69853077.80303247,413.1024169921875,392447296142.5781,-0.00017799352547368422
2022-02-22,-81271202.13656016,408.669189453125,388235729980.46875,-0.00020933467957894738
2022-02-23,-89059208.07878965,401.419921875,381348925781.25,-0.00023353732515789475
2022-02-24,-80948159.66450743,407.4609680175781,387087919616.6992,-0.00020912086263157896
2022-02-25,-42984752.62639152,416.4511413574219,395628584289.5508,-0.00010864925926315791
2022-02-28,-35835652.01493465,415.3856506347656,394616368103.02734,-9.081136747368421e-05
2022-03-01,-53758943.72787791,409.0592041015625,388606243896.4844,-0.000138337828
2022-03-02,-34308076.805010855,416.5844421386719,395755220031.7383,-8.669014347368421e-05
2022-03-03,-43155980.17748307,414.5103454589844,393784828186.03516,-0.00010959279557894738
2022-03-04,-50662325.177390456,411.1427001953125,390585565185.5469,-0.00012970864694736842
2022-03-07,-74342454.71572165,399.02252197265625,379071395874.02344,-0.00019611728957894738
2022-03-08,-90982280.57031974,395.99725341796875,376197390747.0703,-0.00024184718663157893
2022-03-09,-61521249.13438184,406.6142578125,386283544921.875,-0.00015926448315789474
2022-03-10,-61591936.35103429,404.7781677246094,384539259338.3789,-0.00016017073642105264
2022-03-11,-78523863.26640159,399.6313781738281,379649809265.1367,-0.00020683235273684212
2022-03-14,-85970065.6354623,396.7107849121094,376875245666.5039,-0.00022811279494736842
2022-03-15,-69741132.31578206,405.4346008300781,385162870788.5742,-0.00018106919852631579
2022-03-16,-45026752.99568641,414.42486572265625,393703622436.52344,-0.00011436712905263158
2022-03-17,-14009173.046524435,419.6095886230469,398629109191.89453,-3.514337694736842e-05
2022-03-18,-5559731.569436297,424.20550537109375,402995230102.53906,-1.3796023263157893e-05
2022-03-21,-4025572.3336558617,424.08154296875,402877465820.3125,-9.992051368421058e-06
2022-03-22,11740496.377521448,429.0438232421875,407591632080.0781,2.880455694736842e-05
2022-03-23,-10894264.996406259,423.5184631347656,402342539978.02734,-2.7077089578947367e-05
2022-03-24,13339951.290841218,429.90264892578125,408407516479.4922,3.2663334421052633e-05
2022-03-25,18317236.348644953,432.0021667480469,410402058410.64453,4.4632418315789474e-05
2022-03-28,30050995.294432364,435.07501220703125,413321261596.6797,7.270614431578947e-05
2022-03-29,49579394.06407707,440.45721435546875,418434353637.6953,0.00011848786705263159
2022-03-30,26485283.68985522,437.737548828125,415850671386.71875,6.36894094736842e-05
2022-03-31,-3406288.1382483523,431.0001220703125,409450115966.7969,-8.319177368421053e-06
2022-04-01,3087787.9212653437,432.2217102050781,410610624694.8242,7.5199903157894725e-06
2022-04-04,24099152.47063757,435.9242858886719,414128071594.2383,5.8192511263157896e-05
2022-04-05,-14568251.751005696,430.4179992675781,408897099304.1992,-3.562816115789473e-05
2022-04-06,-35217916.749912694,426.1141357421875,404808428955.0781,-8.699897094736841e-05
2022-04-07,-19580564.40838209,428.2613525390625,406848284912.1094,-4.8127435052631576e-05
2022-04-08,-22597642.40471799,427.11614990234375,405760342407.22656,-5.5692092210526305e-05
2022-04-11,-58707712.21288229,419.81573486328125,398824948120.1172,-0.00014720170463157896
2022-04-12,-62825705.45051895,418.26019287109375,397347183227.53906,-0.00015811287484210527
2022-04-13,-37809699.338241264,423.0508117675781,401898271179.1992,-9.407778547368421e-05
